N,P,K,ph,moisture,fertility
133,127,35,5.95,30.73,Medium
110,125,159,7.76,44.24,Low
44,65,31,7.76,25.32,Medium
96,104,77,7.89,22.96,Low
27,55,189,5.18,70.2,Low
122,102,101,7.32,76.14,Medium
38,141,165,5.09,15.6,Low
86,6,94,7.64,63.54,Medium
68,9,48,5.48,41.73,Medium
135,90,47,7.45,37.23,High
118,137,35,6.32,58.26,Medium
31,72,121,8.45,28.64,Low
77,13,197,6.82,11.44,Low
78,97,80,7.03,24.98,Medium
58,142,149,5.97,22.94,Low
118,129,147,7.44,12.38,Low
95,65,38,6.48,32.49,High
62,55,84,4.57,43.22,High
132,14,8,6.93,61.51,Low
96,138,76,7.82,32.8,Medium
51,66,102,5.45,23.62,Medium
107,117,114,5.38,26.14,Low
118,137,32,6.94,72.38,Medium
60,126,134,7.77,24.33,Low
94,127,21,5.5,71.55,Medium
136,67,62,8.23,41.3,Medium
30,115,131,8.21,75.41,Low
53,93,13,5.3,38.57,Low
112,55,35,5.56,22.44,Medium
77,136,198,7.3,48.43,Medium
138,108,92,8.31,51.14,Low
101,127,66,7.34,54.48,Medium
33,52,23,6.28,38.8,Medium
134,36,85,5.18,13.4,Low
120,124,111,6.34,53.87,Medium
107,103,59,6.93,75.31,Medium
26,78,160,5.82,77.03,Medium
108,38,116,6.54,51.78,High
91,74,127,5.02,11.39,Low
113,114,182,6.31,17.42,Low
28,20,69,4.86,68.38,Low
94,63,128,4.7,68.08,Medium
17,23,7,7.93,76.22,Low
37,99,184,5.32,49.46,Low
14,117,142,6.8,70.47,Low
110,45,25,5.1,67.74,Low
127,85,41,5.55,51.26,High
73,107,19,5.95,64.85,Medium
100,58,91,5.07,18.8,Medium
126,99,124,4.68,54.74,Low
107,66,141,8.01,76.74,Low
20,103,48,4.55,21.34,Low
63,97,43,4.75,62.08,Medium
56,69,137,7.72,32.46,Medium
14,72,29,5.63,67.2,Medium
29,32,60,7.39,58.8,High
55,22,125,5.08,74.83,Low
21,30,94,5.45,59.84,Medium
79,108,68,6.79,38.72,High
26,59,204,8.45,10.76,Low
124,123,184,4.79,65.5,Low
57,128,93,6.1,38.59,High
117,138,116,4.67,56.94,Low
61,133,80,5.3,17.35,Low
105,12,141,8.13,72.37,Low
79,55,142,4.89,40.5,Medium
111,89,14,7.93,74.38,Low
84,29,66,5.21,59.49,Medium
91,87,94,7.95,18.5,Medium
101,97,64,6.65,50.54,Medium
13,121,151,8.01,73.7,Low
118,142,111,5.11,66.0,Low
57,60,42,7.55,39.26,High
82,16,138,7.22,76.85,Medium
81,124,147,6.67,28.8,Low
125,75,51,7.74,36.26,Medium
90,21,177,7.09,62.48,Medium
90,126,137,8.01,26.3,Low
122,128,82,6.02,46.08,Medium
105,14,57,6.86,61.02,Medium
81,35,198,7.98,55.08,Medium
72,64,66,5.36,20.88,Medium
47,74,27,6.44,54.08,High
76,21,48,8.34,50.09,Medium
78,54,56,6.39,49.05,High
22,41,50,5.51,67.82,High
40,122,151,5.9,22.87,Low
123,84,88,8.04,62.61,Medium
31,15,51,8.32,63.26,Low
102,138,95,8.3,60.59,Low
76,127,56,7.3,45.42,High
63,39,28,6.54,37.69,High
51,37,149,5.23,37.63,Medium
73,22,93,4.99,61.37,Medium
135,17,178,4.74,44.85,Low
30,94,68,4.57,33.69,Low
44,114,123,8.01,53.78,Low
39,5,160,7.74,68.59,Low
66,67,182,6.77,14.31,Medium
56,38,68,8.49,78.05,High
28,107,160,8.31,16.77,Low
123,14,90,7.12,45.82,Medium
17,132,60,6.36,49.21,Medium
35,11,63,5.11,19.67,Low
122,60,137,6.56,74.09,Medium
80,84,186,5.13,43.0,Medium
39,16,176,6.09,20.02,Low
76,52,174,8.27,59.81,Medium
74,30,204,5.87,56.44,High
45,116,129,5.11,77.4,Low
34,126,189,6.83,40.91,Low
46,16,51,6.91,28.75,Medium
10,46,125,5.28,14.2,Low
46,65,157,5.29,61.32,Medium
137,62,106,8.46,53.21,Medium
136,38,48,5.47,78.08,Medium
10,11,19,7.85,59.85,Low
44,113,109,6.38,75.32,High
113,39,55,6.24,79.41,High
32,19,57,5.68,39.99,Medium
18,29,38,7.6,20.52,Low
43,63,128,8.02,23.71,Low
137,83,81,5.54,32.29,High
13,90,140,4.88,45.62,Low
111,138,127,5.05,18.57,Low
84,92,74,7.67,31.12,Medium
108,75,25,6.24,31.55,Medium
81,125,112,5.03,10.29,Low
12,97,112,5.86,34.79,Medium
43,100,139,6.56,18.13,Low
54,36,94,7.91,40.08,High
70,57,83,7.07,23.76,High
92,63,188,5.2,67.55,Medium
132,73,181,5.13,15.64,Low
111,136,46,6.15,70.6,Medium
25,90,155,4.8,50.64,Low
75,22,56,7.52,42.1,Medium
128,85,106,6.11,48.48,High
133,118,109,5.87,36.33,Medium
111,28,83,6.54,18.93,Low
75,70,116,7.34,63.61,High
22,66,185,6.78,74.95,Medium
120,58,108,7.71,76.5,Medium
43,135,20,7.02,56.95,Medium
48,41,100,7.65,38.72,High
129,41,41,7.29,43.49,High
135,135,150,5.27,55.99,Low
64,39,152,4.71,67.62,Medium
36,128,50,8.11,36.22,Low
127,22,6,8.28,74.17,Low
62,126,123,7.41,32.7,Medium
48,52,91,7.4,47.16,High
74,21,98,5.58,77.3,High
22,139,195,6.67,75.67,Low
30,61,7,8.47,58.7,Low
62,12,178,7.92,32.72,Low
28,132,115,5.72,25.33,Low
66,121,181,5.7,15.61,Low
34,60,5,6.43,59.61,Medium
40,130,109,6.12,45.24,High
90,63,26,5.98,50.06,High
32,62,146,7.01,43.07,Medium
41,144,177,4.55,43.81,Low
83,112,138,7.55,49.99,Low
19,78,69,7.46,74.0,High
63,105,25,7.82,12.06,Low
61,52,8,7.87,66.11,Medium
123,75,135,6.77,37.34,Medium
23,120,117,7.62,62.14,Low
119,126,34,6.47,76.4,Medium
62,82,35,8.31,31.44,High
88,33,166,5.26,16.27,Low
31,97,24,8.16,26.26,Low
39,77,58,5.53,25.55,Medium
13,104,130,4.91,61.93,Low
68,78,157,6.26,14.33,Medium
17,99,19,6.96,13.57,Low
21,21,170,5.42,58.55,Low
128,141,155,6.72,48.97,Low
43,101,184,7.73,39.24,Low
91,13,198,5.53,50.28,Medium
107,139,189,6.82,61.47,Low
136,23,61,5.86,17.24,Low
84,138,83,6.62,48.73,High
114,118,184,7.17,67.71,Low
58,143,167,5.9,35.37,Medium
88,129,18,8.48,63.41,Low
102,65,95,6.76,69.18,High
27,46,18,7.8,67.47,Low
105,17,103,7.4,55.52,Medium
47,144,37,7.91,60.21,Medium
96,89,184,5.2,65.14,Medium
97,24,5,5.39,61.36,Low
59,54,38,6.45,41.62,High
17,96,23,7.91,21.14,Low
78,92,156,5.29,31.68,Low
130,73,8,8.38,24.51,Low
73,41,168,5.01,35.3,Medium
130,144,81,5.2,44.25,Low
74,103,62,5.17,77.13,Medium
116,129,164,6.84,77.16,Low
109,58,141,8.17,63.87,Low
91,134,107,5.52,78.61,High
60,45,71,6.71,79.86,High
92,49,120,5.2,71.97,High
121,107,152,7.02,15.57,Low
65,110,124,4.99,39.82,Low
69,141,194,6.47,47.39,Medium
129,132,190,7.12,18.69,Low
32,90,26,6.82,66.6,Medium
22,51,116,5.06,20.41,Low
110,9,199,5.15,36.83,Low
33,5,79,7.19,14.82,Low
117,48,180,7.74,46.72,Low
20,42,140,8.13,51.79,Low
26,23,147,7.75,61.46,Low
34,119,36,8.4,33.76,Low
103,91,185,6.13,51.34,Low
30,127,71,5.82,61.39,Medium
93,86,8,4.61,63.34,Medium
46,62,34,6.3,31.11,High
51,71,17,7.11,14.74,Medium
110,126,25,7.76,12.63,Low
57,91,45,5.57,63.76,High
112,135,125,6.55,36.98,Low
37,59,23,7.15,19.38,Low
50,93,52,6.71,22.91,Medium
108,62,90,5.6,63.63,High
56,67,67,7.69,51.92,High
114,95,152,5.19,45.1,Low
133,56,196,8.12,53.61,Low
22,130,41,8.31,19.62,Low
109,28,35,5.96,32.33,Medium
40,76,78,6.0,36.18,High
139,13,150,7.47,32.01,Low
25,114,111,6.33,70.51,Medium
82,98,107,4.61,50.7,Medium
63,121,114,8.18,61.05,Medium
109,87,24,6.22,26.57,Low
118,84,143,5.31,28.49,Low
96,104,90,6.72,25.77,Medium
17,44,48,5.38,58.16,Medium
16,107,86,5.32,34.43,Low
45,66,68,6.68,38.36,High
27,73,126,6.06,59.64,Medium
12,113,166,6.79,78.03,Low
37,8,91,8.49,21.33,Low
79,76,69,7.94,14.39,Medium
37,21,59,4.53,23.64,Low
63,118,78,4.7,61.45,Medium
74,89,121,6.94,23.62,Medium
109,61,133,7.01,50.9,Medium
30,111,170,8.01,51.32,Low
22,52,141,7.02,30.61,Medium
66,121,99,5.41,14.81,Low
58,35,203,6.37,37.94,High
127,116,149,7.74,23.07,Low
63,51,103,8.19,22.91,Medium
62,138,116,5.45,46.58,Medium
53,112,56,6.66,57.12,High
56,76,150,5.14,15.28,Low
62,75,195,6.49,50.48,High
83,112,37,4.86,27.23,Low
55,57,8,8.27,57.13,Medium
22,20,91,7.05,66.72,Medium
111,120,79,7.92,66.49,Low
33,77,184,8.49,35.89,Low
11,78,13,5.23,49.71,Low
90,85,68,7.28,65.56,High
109,16,34,8.05,14.26,Low
120,132,140,6.8,52.39,Low
111,74,137,7.06,68.56,Medium
26,45,80,6.13,36.06,High
21,63,195,7.2,41.88,Medium
125,93,133,6.08,58.91,Low
33,28,19,6.41,14.75,Low
38,84,93,4.91,36.99,Medium
131,138,170,4.53,30.7,Low
99,136,174,4.72,11.19,Low
74,96,132,5.27,23.72,Low
93,96,178,6.33,37.71,Medium
128,85,185,4.58,23.82,Low
25,75,30,5.12,52.17,Medium
113,69,65,7.63,41.41,Medium
101,56,127,7.55,12.76,Low
36,34,71,7.66,29.25,Low
42,103,186,8.19,11.36,Low
64,102,154,4.98,35.07,Low
16,46,30,5.15,28.14,Low
66,143,87,5.83,58.17,High
135,31,112,8.16,31.52,Medium
21,76,115,7.6,36.26,Medium
25,22,64,5.8,60.77,Medium
52,81,43,4.85,43.66,High
126,49,127,6.97,48.95,Medium
120,119,40,5.53,68.89,Medium
60,91,25,6.62,24.48,Low
84,144,173,8.27,79.24,Low
17,96,122,6.79,73.01,Low
54,26,52,8.2,30.06,Medium
68,96,30,6.07,72.51,High
113,81,195,7.03,62.78,Medium
107,29,40,8.08,75.15,Low
88,112,156,6.85,58.38,Medium
133,139,132,6.96,57.21,Low
13,113,153,7.37,10.24,Low
99,138,150,8.03,43.22,Low
113,28,19,4.85,24.02,Low
128,23,83,5.85,32.69,Medium
65,87,138,6.09,78.52,High
105,119,175,8.14,15.99,Low
84,13,163,8.32,60.57,Low
41,116,32,4.98,22.11,Low
37,106,140,4.98,10.52,Low
31,52,161,8.24,45.1,Low
26,73,153,5.68,21.29,Low
68,123,124,5.47,77.58,Low
99,49,92,4.64,24.26,Medium
115,129,190,5.6,23.44,Low
35,18,192,7.27,12.25,Low
34,138,182,6.2,33.09,Low
54,139,35,6.57,11.69,Medium
92,41,51,8.17,44.92,High
20,57,38,4.96,45.39,Medium
113,22,6,4.78,13.73,Low
77,42,110,7.91,26.8,Medium
104,133,199,7.6,68.25,Low
74,48,98,5.55,42.38,High
58,51,76,5.8,40.42,High
61,39,56,5.74,58.91,High
111,64,139,7.09,60.04,Medium
66,94,151,4.74,63.34,Low
56,56,94,6.46,68.13,High
35,12,96,5.04,26.26,Low
123,111,147,7.78,14.65,Low
14,135,82,6.02,36.62,Medium
93,100,180,6.61,69.86,Medium
61,30,129,4.62,15.46,Low
114,115,146,4.73,50.32,Low
63,127,135,7.2,59.08,Medium
24,55,54,7.57,43.7,Medium
70,127,97,7.34,27.86,Medium
131,9,128,7.45,32.84,Low
30,81,58,4.92,15.02,Low
55,5,138,7.27,30.48,Medium
47,15,181,5.23,13.11,Low
71,12,155,4.89,60.84,Low
95,36,82,7.53,72.86,High
87,32,82,8.06,54.35,High
55,135,24,7.37,55.97,Medium
12,132,95,7.72,43.05,Low
15,66,192,8.46,20.92,Low
102,31,103,5.04,10.54,Low
17,49,177,8.36,34.08,Low
117,109,193,6.9,62.6,Low
84,96,60,7.75,77.23,Medium
86,29,6,7.1,40.18,Medium
59,48,109,6.78,35.58,High
20,140,177,7.31,41.22,Low
104,84,172,5.78,39.94,Medium
79,86,116,8.2,53.81,High
25,139,28,4.96,61.39,Low
77,92,161,5.77,64.95,Medium
108,131,199,4.62,55.47,Low
57,59,113,5.59,40.64,High
73,60,72,5.37,76.51,High
99,19,118,4.7,59.77,Medium
85,62,198,6.47,39.87,High
110,92,88,6.37,41.26,Medium
98,101,186,4.81,67.26,Low
27,12,185,5.55,40.84,Low
28,44,53,8.31,46.14,Medium
64,18,36,4.94,30.41,Medium
111,57,65,5.72,68.72,High
127,131,174,4.64,46.56,Low
13,84,133,5.1,48.68,Low
117,119,195,7.3,71.65,Low
124,138,106,5.97,74.44,Medium
38,59,39,6.31,67.69,High
68,48,55,5.13,14.58,Medium
134,22,203,7.23,41.05,Low
107,20,49,7.51,34.03,Low
26,16,81,5.22,24.95,Low
116,49,117,4.68,73.63,Medium
52,97,69,4.82,72.3,Medium
89,26,18,7.13,42.57,Medium
17,101,97,5.04,19.42,Low
115,51,135,6.48,10.94,Low
17,33,28,5.11,40.69,Low
105,49,69,5.18,12.8,Low
103,81,180,4.52,52.67,Low
74,13,142,5.78,52.59,Medium
48,28,17,4.86,72.93,Low
90,19,146,6.08,23.3,Low
93,17,104,6.89,36.0,High
97,95,142,5.97,70.17,Medium
95,105,172,7.32,43.2,Medium
102,75,155,7.47,14.18,Low
95,126,103,7.29,17.75,Medium
53,80,59,8.25,66.94,High
83,120,67,5.45,62.06,Medium
45,65,75,5.26,71.31,High
110,130,174,6.94,18.32,Low
113,5,103,6.88,63.23,Medium
75,72,70,6.54,55.86,High
64,92,83,4.52,26.26,Low
100,25,77,6.72,78.17,High
31,139,51,8.23,49.92,Low
110,7,85,5.84,73.48,Medium
130,55,130,8.37,70.14,Low
102,83,56,5.93,33.32,High
117,99,150,5.06,47.52,Low
19,127,150,6.09,40.2,Low
18,10,156,6.48,59.64,Low
43,21,27,7.02,51.16,Medium
138,121,144,6.52,64.94,Low
98,64,155,6.65,10.82,Medium
102,129,25,4.6,58.15,Low
80,85,68,5.51,32.33,High
76,89,76,5.74,25.7,High
126,55,166,8.45,66.09,Low
103,143,134,5.68,16.25,Low
108,75,73,8.09,25.99,Low
122,43,163,5.72,24.26,Low
112,73,72,4.88,39.39,Medium
100,52,202,5.49,32.56,Medium
99,129,151,5.59,60.43,Medium
26,61,132,8.41,58.96,Low
27,25,111,7.2,32.78,Medium
125,86,113,8.23,40.59,Medium
102,103,76,7.84,24.55,Low
100,19,107,6.81,56.96,High
91,73,145,7.2,37.74,High
77,80,69,7.0,19.3,High
123,66,138,7.17,18.91,Low
10,123,203,5.56,32.56,Low
67,41,116,6.13,62.31,High
118,138,159,6.87,11.79,Low
125,30,83,4.64,28.04,Low
96,12,184,6.43,21.37,Low
19,8,130,7.94,76.95,Low
68,25,125,6.47,59.37,Medium
50,29,91,6.71,26.33,Medium
114,47,52,5.31,24.52,Low
131,41,92,7.68,70.06,Medium
31,46,72,5.94,23.32,Medium
107,96,176,8.33,79.79,Low
77,65,105,8.47,29.76,Medium
65,72,21,8.16,15.9,Low
108,57,42,4.84,58.37,Medium
85,88,142,5.83,52.67,High
35,38,58,8.28,79.99,Medium
124,80,138,7.72,66.15,Low
118,101,138,8.14,40.02,Low
56,34,56,6.79,57.36,High
80,92,19,6.42,67.25,Medium
49,11,72,4.93,45.96,Medium
32,40,189,7.86,29.1,Low
115,42,116,7.48,24.71,Medium
93,56,188,4.74,30.67,Medium
125,144,108,5.34,69.36,Low
118,97,11,6.73,36.63,Low
50,111,55,7.24,30.07,High
121,130,62,5.05,66.41,Low
121,53,196,5.48,12.23,Low
112,25,113,5.27,51.58,Low
55,19,115,5.38,71.15,Medium
77,18,158,8.18,38.71,Low
131,46,190,7.36,28.85,Low
24,19,35,7.45,44.42,Medium
138,67,198,7.68,60.22,Low
120,31,96,5.93,46.16,High
33,97,110,7.57,10.53,Low
36,109,17,8.41,15.48,Low
49,57,150,7.29,60.49,High
33,56,123,6.17,38.0,Medium
33,67,145,7.37,64.93,Medium
13,61,119,8.1,55.46,Medium
76,124,156,5.02,50.71,Low
43,56,61,5.56,73.1,High
125,111,130,8.18,11.49,Low
32,47,161,8.28,20.85,Low
118,139,188,6.44,53.71,Low
78,121,58,6.0,14.61,Medium
104,8,137,5.63,55.15,Low
71,137,167,6.5,78.89,Medium
66,84,23,8.24,71.52,Medium
63,45,187,5.1,51.36,Medium
79,136,81,6.18,72.58,High
110,6,73,8.15,18.14,Low
66,47,48,5.9,41.83,High
112,86,42,7.57,40.01,Medium
94,112,66,6.06,33.55,High
70,141,26,7.72,10.01,Low
12,30,77,8.42,72.37,Medium
137,86,172,6.05,64.44,Medium
95,87,158,7.88,55.7,Medium
56,135,129,8.45,19.03,Low
85,77,9,8.44,36.47,Medium
47,104,58,6.24,74.7,High
96,53,90,6.44,53.19,High
67,67,181,5.71,52.24,High
59,59,7,5.76,73.92,High
39,38,42,6.47,49.19,High
110,109,146,5.3,51.83,Low
34,109,179,7.34,34.2,Low
121,73,146,6.65,36.0,Medium
135,19,77,8.09,57.99,Low
132,7,42,7.74,32.43,Low
56,7,196,5.79,49.14,Medium
127,106,176,6.52,29.54,Low
48,8,129,7.5,21.63,Low
25,92,74,5.27,41.81,Low
31,49,69,4.63,25.22,Low
63,49,29,7.91,72.89,Medium
25,79,20,5.05,31.25,Low
68,13,19,8.06,51.82,Low
40,122,135,8.15,28.44,Low
41,69,199,6.34,28.06,Medium
18,135,41,7.73,34.54,Low
19,30,187,5.95,74.11,Medium
26,30,129,7.93,37.4,Low
77,27,117,7.8,67.49,Medium
57,34,170,4.81,23.81,Low
120,14,195,6.83,13.37,Low
132,76,5,7.06,64.72,Medium
110,68,75,4.5,47.93,Medium
111,127,107,8.42,45.26,Low
74,109,23,6.13,29.05,Low
60,78,56,6.57,15.06,High
45,109,122,5.28,43.8,Low
90,51,162,6.94,70.71,High
136,91,111,7.74,18.4,Low
97,57,59,6.84,75.04,High
113,133,18,7.65,29.23,Low
24,6,17,7.42,47.25,Low
105,62,88,5.45,14.66,Low
132,76,94,6.24,39.75,High
10,144,31,5.09,18.81,Low
131,31,93,4.67,13.36,Low
135,33,141,4.75,77.66,Low
66,19,45,8.27,61.11,Medium
90,133,52,8.44,60.33,Medium
82,64,16,4.88,16.34,Low
79,111,142,5.84,75.05,Medium
15,7,10,4.96,42.86,Low
93,119,166,7.84,69.66,Low
61,56,184,6.49,10.88,Medium
12,64,45,6.99,30.87,High
90,38,10,6.66,79.72,High
72,100,134,7.34,39.95,Medium
58,93,19,5.78,72.19,Medium
85,64,149,5.05,32.96,Medium
121,23,20,4.57,46.77,Low
118,115,160,6.28,69.8,Low
74,26,89,8.13,52.41,Medium
90,132,204,5.72,60.76,Medium
24,39,14,5.28,26.02,Low
109,111,142,8.2,20.91,Low
41,132,142,4.92,26.12,Low
105,87,160,4.71,44.51,Low
137,142,156,8.02,66.07,Low
122,143,23,7.3,34.78,Low
92,115,72,6.19,49.54,High
52,94,188,7.51,66.34,Low
125,28,199,7.47,26.71,Low
87,81,46,4.66,71.81,High
67,105,144,7.2,76.72,Medium
42,136,150,7.06,12.73,Low
23,17,155,8.36,14.14,Low
68,102,88,8.37,16.37,Low
92,124,138,6.01,64.37,Medium
130,41,57,6.86,23.25,Medium
92,52,102,5.07,60.8,High
36,5,46,4.77,40.89,Low
89,64,198,6.23,68.54,High
22,144,34,7.26,66.6,Medium
73,143,13,6.77,77.18,Medium
89,48,174,6.22,27.57,Medium
132,119,38,7.77,26.05,Low
52,112,172,7.68,12.21,Low
98,48,92,7.43,38.73,High
104,82,149,4.81,42.13,Low
11,29,161,7.69,77.52,Low
129,136,54,8.18,68.15,Low
31,120,80,4.74,21.68,Low
124,123,181,6.11,65.89,Low
66,14,193,8.45,22.48,Low
81,113,50,6.9,15.44,Medium
16,39,50,6.55,68.6,High
128,138,130,5.21,78.32,Low
123,23,21,6.76,16.17,Low
25,12,70,6.26,66.97,Medium
92,14,108,5.01,70.14,Medium
81,33,9,6.36,18.31,Medium
133,19,127,5.16,29.83,Low
122,91,186,7.42,61.36,Low
21,27,129,8.39,66.54,Low
135,50,116,6.38,34.78,High
62,32,20,7.03,21.2,Medium
84,30,85,6.22,55.38,High
36,14,95,5.05,59.14,Low
106,8,139,8.38,45.25,Low
14,59,140,5.02,20.15,Low
66,70,76,4.95,69.11,High
87,71,100,6.34,55.17,High
78,139,115,7.14,70.84,High
127,59,86,5.92,75.31,High
129,35,42,5.27,66.4,Medium
68,78,58,7.78,77.11,High
42,23,80,5.95,76.8,High
71,85,19,5.28,53.35,Medium
59,91,182,5.96,60.97,Medium
121,24,188,5.36,58.96,Low
28,17,120,6.58,53.48,Medium
132,81,13,7.17,11.35,Low
56,47,12,7.7,34.91,Medium
42,143,114,5.41,17.01,Low
93,54,151,5.17,31.02,Medium
88,32,55,4.58,14.8,Medium
23,8,204,5.41,74.4,Low
137,26,189,4.6,41.59,Low
63,123,200,5.88,23.26,Low
38,105,35,5.08,50.93,Low
33,43,106,6.82,23.75,Medium
91,38,7,6.03,66.31,High
72,101,103,4.87,31.41,Medium
114,48,87,6.1,32.04,High
66,44,47,5.34,70.9,High
71,101,33,7.22,49.14,High
26,144,14,5.96,72.11,Low
75,134,144,5.09,38.9,Low
15,78,50,5.9,34.07,High
67,90,34,5.4,45.43,High
78,94,98,7.68,14.3,Low
71,71,36,8.43,20.79,Medium
91,80,51,4.6,25.37,Medium
80,96,92,7.26,67.17,High
19,14,67,5.56,61.37,Medium
107,90,158,4.77,23.53,Low
98,106,135,4.56,29.37,Low
44,112,27,8.02,76.1,Low
11,95,78,5.91,16.01,Low
133,83,54,8.48,48.32,Medium
33,90,168,6.27,46.54,Medium
83,111,128,5.25,60.8,Low
31,105,17,7.61,28.3,Low
48,112,130,8.21,75.43,Low
29,64,33,7.76,38.74,Medium
50,52,170,7.48,30.0,High
117,121,125,5.84,33.58,Low
93,110,94,4.76,34.41,Medium
120,37,137,5.31,23.92,Low
75,48,152,6.29,74.96,High
62,116,82,8.32,22.24,Low
43,93,113,7.39,71.8,High
76,40,18,7.81,38.35,Medium
36,85,140,5.61,28.85,Low
19,92,52,7.24,23.9,Low
82,134,145,7.95,45.3,Low
105,35,28,6.42,56.85,Medium
57,112,83,6.22,72.88,High
79,34,197,7.38,55.67,High
109,16,166,6.74,43.86,Low
68,55,55,8.47,12.34,Medium
11,125,7,6.2,74.08,Low
74,143,132,5.2,73.17,Low
92,17,123,6.39,36.51,Medium
19,95,62,5.44,12.03,Low
62,78,129,6.75,61.34,High
88,24,204,5.0,65.42,Low
68,76,117,8.3,47.97,High
57,77,59,7.94,38.2,High
132,75,123,5.12,69.58,Low
31,82,124,5.19,23.48,Low
109,32,84,6.55,40.77,High
107,134,46,7.59,11.71,Low
34,125,25,5.38,21.48,Low
37,47,14,4.74,75.86,Low
122,12,61,6.68,50.47,Medium
54,17,157,7.27,66.39,Medium
77,115,60,5.48,44.06,Medium
16,39,42,7.46,68.44,High
58,27,90,8.3,47.73,Medium
92,50,117,5.05,10.32,Medium
138,19,193,6.54,72.98,Low
82,134,116,4.73,20.4,Low
55,65,179,5.33,41.54,Medium
115,119,58,4.86,43.37,Low
41,68,50,6.12,13.31,High
15,56,200,7.78,13.71,Low
83,73,8,6.81,63.38,High
123,71,198,5.39,31.03,Low
36,87,175,4.66,38.67,Low
63,6,66,6.71,49.49,High
94,82,128,5.03,36.14,Medium
136,32,132,5.87,64.25,Medium
120,58,116,6.54,71.91,High
24,71,89,8.11,14.18,Low
102,106,8,4.83,54.48,Low
132,124,69,7.17,32.24,Medium
82,52,66,4.56,50.83,High
101,51,94,7.02,43.87,High
26,25,124,6.71,33.36,Low
52,96,134,7.75,16.64,Low
130,125,141,6.63,49.16,Low
50,120,189,5.91,17.9,Low
48,5,49,5.47,20.93,Low
122,81,150,4.84,78.75,Low
120,89,116,6.64,32.17,High
56,50,180,8.05,50.91,Medium
72,141,46,6.56,29.06,Medium
119,51,45,7.46,70.59,High
78,63,93,5.69,29.83,High
52,58,190,6.29,35.68,High
43,90,46,5.8,52.59,High
49,16,39,4.94,70.9,Medium
70,10,170,6.17,67.13,Medium
71,57,71,7.56,28.47,Medium
67,94,45,6.08,68.07,High
84,9,103,7.1,59.08,High
25,77,54,7.53,79.29,Medium
91,18,108,5.79,75.48,High
103,110,90,7.69,47.32,Low
57,56,204,5.86,62.5,High
91,120,83,5.52,49.91,High
47,30,49,5.39,51.65,High
136,57,203,5.3,17.11,Low
28,113,151,7.45,10.16,Low
72,33,110,8.05,13.37,Medium
86,23,149,5.42,77.66,Low
111,51,197,4.84,18.84,Low
74,140,126,5.76,13.11,Low
129,27,81,7.13,31.68,Medium
100,121,60,5.97,51.17,High
17,110,116,6.7,76.39,Medium
82,57,97,7.48,58.99,High
116,100,45,6.13,29.34,Low
98,9,174,8.5,75.73,Low
48,20,10,5.69,12.52,Low
122,21,201,8.41,78.53,Low
37,106,102,5.31,14.1,Low
106,24,77,4.94,62.77,Low
46,116,172,7.5,13.17,Low
91,124,45,7.31,75.21,High
65,115,13,7.74,17.61,Low
94,5,12,5.87,13.53,Low
11,62,176,8.22,72.25,Low
67,97,190,4.98,16.71,Low
116,10,108,4.62,65.86,Low
132,112,199,5.7,62.29,Low
123,107,17,7.69,51.92,Low
116,54,23,7.19,36.46,Medium
46,122,102,6.24,74.09,High
88,114,100,5.53,70.98,High
101,92,53,4.74,39.84,Low
27,24,104,5.85,26.22,Low
107,18,86,6.34,29.08,Low
72,137,162,7.25,25.42,Low
13,44,70,7.08,47.89,High
70,38,95,8.29,70.8,High
116,128,63,4.9,64.15,Low
63,49,57,5.85,65.69,High
97,84,56,6.43,41.38,High
77,75,85,7.18,32.57,High
138,82,163,6.48,63.01,Medium
64,82,19,8.15,65.53,Medium
12,37,125,6.93,58.67,Medium
130,37,152,4.66,12.25,Low
138,48,9,4.95,51.28,Low
111,24,139,7.51,34.29,Low
47,115,22,7.36,23.73,Low
94,11,60,5.11,58.61,Medium
101,28,79,4.74,28.8,Low
30,74,100,6.81,73.9,High
118,116,118,7.04,30.87,Medium
56,108,105,5.04,48.86,Medium
93,58,177,6.39,67.94,High
92,42,32,5.72,38.15,High
44,78,54,8.23,68.01,High
78,84,6,5.38,60.66,Medium
138,36,72,7.43,74.46,High
36,49,132,6.57,32.81,Medium
65,65,81,4.55,17.35,Medium
32,57,28,6.57,40.12,Medium
30,132,116,4.9,65.01,Low
70,80,180,7.14,41.53,High
72,31,177,6.76,28.34,Medium
131,66,123,4.54,11.93,Low
61,22,190,5.32,31.91,Low
97,131,40,7.6,59.94,Medium
64,113,6,5.6,20.33,Low
55,107,131,6.5,33.86,Medium
41,81,109,5.75,11.42,High
64,121,22,8.19,60.52,Low
105,108,181,6.65,71.65,Low
45,53,12,7.28,49.8,High
119,120,190,4.83,11.81,Low
115,104,19,4.66,25.23,Low
67,129,149,5.54,40.69,Medium
48,29,27,5.74,51.13,Medium
89,132,198,7.25,44.74,Medium
106,104,202,6.78,74.11,Low
122,9,97,6.0,75.7,Medium
70,23,159,7.12,17.5,Low
15,22,169,5.15,19.69,Low
118,125,53,4.75,35.06,Low
44,36,68,7.92,39.49,High
48,14,38,6.76,51.02,High
127,41,22,7.1,64.12,Medium
14,90,68,5.73,19.5,Medium
96,17,110,5.99,66.18,High
85,13,78,4.83,52.7,Medium
66,92,106,7.93,78.66,Medium
136,50,176,6.87,55.58,Medium
38,140,21,4.83,60.13,Low
